見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
ジュニアフットサル低学年大会,,,,5月18日（土）9:00～,県立橋本体育館（橋本市）,小学2年生以下の部、小学4年生以下の部チーム構成：選手5人以上、大人（代表者）1人,,"2,000円/チーム",,,郵送、ファックス、持参で所定の申込書（申込先、WEBサイトで配布）を4月25日までに会場〒648-0061橋本市北馬場455電話0736-32-9660　ファックス0736-32-9650,,,,http://www3.cypress.ne.jp/hp10703248/hasitai/hasitai-topA.htm,,,
紀の国いきいき健康長寿祭,11月開催の「ねんりんピック紀の国わかやま2019」出場選手選考を兼ねて実施,,テニス、ソフトテニス,5月19日（日）10:00～17:00,紀三井寺公園（和歌山市）,県内在住で昭和35年4月1日以前に生まれた方,,,,,郵送、ファックスで所定の申込書（申込先で配布）を4月19日までに県社会福祉協議会いきいき長寿社会センター〒640-8545和歌山市手平2-1-2 和歌山ビッグ愛7階電話073-435-5214　ファックス073-435-5221,,,,http://www.wakayamakenshakyo.or.jp/,,,
紀の国いきいき健康長寿祭,11月開催の「ねんりんピック紀の国わかやま2019」出場選手選考を兼ねて実施,,グラウンド・ゴルフ,5月30日（木）10:00～17:00,潮岬青少年の家（串本町）,新宮市・東牟婁郡在住で昭和35年4月1日以前に生まれた方,400人（先着順）,,,,郵送、ファックスで所定の申込書（申込先で配布）を4月25日までに県社会福祉協議会いきいき長寿社会センター〒640-8545和歌山市手平2-1-2 和歌山ビッグ愛7階電話073-435-5214　ファックス073-435-5221,,,,http://www.wakayamakenshakyo.or.jp/,,,
紀の国いきいき健康長寿祭,11月開催の「ねんりんピック紀の国わかやま2019」出場選手選考を兼ねて実施,,健康マージャン,6月4日（火）10:20～17:00,和歌山ビッグ愛（和歌山市）,県内在住で昭和35年4月1日以前に生まれた方,100人（先着順）,,,,郵送、ファックスで所定の申込書（申込先で配布）を5月10日までに県社会福祉協議会いきいき長寿社会センター〒640-8545和歌山市手平2-1-2 和歌山ビッグ愛7階電話073-435-5214　ファックス073-435-5221,,,,http://www.wakayamakenshakyo.or.jp/,,,
紀の国いきいき健康長寿祭,11月開催の「ねんりんピック紀の国わかやま2019」出場選手選考を兼ねて実施,,卓球,6月9日（日）10:00～17:00,河南総合体育館（和歌山市）,県内在住で昭和35年4月1日以前に生まれた方,,,,,郵送、ファックスで所定の申込書（申込先で配布）を5月9日までに県社会福祉協議会いきいき長寿社会センター〒640-8545和歌山市手平2-1-2 和歌山ビッグ愛7階電話073-435-5214　ファックス073-435-5221,,,,http://www.wakayamakenshakyo.or.jp/,,,
県戦没者追悼式,県民の皆さんとともに、先の大戦で亡くなられた方々を追悼し、平和を祈念するために実施,,,5月5日（祝）11:00～12:30,県民文化会館（和歌山市）,,,,,県庁福祉保健総務課※式典は平服可。手話通訳あり,,,,,,,,
5・6月開始の職業訓練受講生,就職に有利な専門知識や技能を修得,科目：(1)パソコン基礎科(2)ビル管理技術科(3)医療（医科）・調剤事務科(4)OA事務科（ビジネス・実習）（障害者対象）(5)介護初級科(6)パソコン・総務経理事務科,,,(1)～(4)和歌山市(5)橋本市(6)田辺市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認,,,,https://jsite.mhlw.go.jp/wakayama-roudoukyoku/riyousha_mokuteki_menu/kyushokuchu/201712.html,,,
消費者月間・金融経済講演会,テーマ：人生を楽しくする方程式,講師：ピーター・フランクル氏（数学者・大道芸人）,,5月18日（土）13:30～15:00,和歌山ビッグ愛（和歌山市）,,250人（先着順）,,,,郵送、ファックスで住所、氏名、電話番号、参加人数を県金融広報委員会〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛8階電話073-426-0298　ファックス073-433-3904,,,,http://www.wakayama-kinkoui.jp/,,,
県修学奨励金（奨学金）,,,,,,(1)高校などに在学している方(2)保護者が県内在住(3)世帯全員の収入額が貸与基準額以下であることなどすべての項目に該当する方返還： 無利子、卒業後10年以内,,,所定の申請書（申込先で配布）を4月15日～5月31日に在学校、問合先県ウェブサイトでも掲載,県教育庁生涯学習課,,,,,https://www.pref.wakayama.lg.jp/prefg/500600/d00153327.html,,,
ナースデイフェスタ和歌山,「看護の日」記念事業の公開講座,テーマ：(1)災害看護の現場から～地域の生命を支えるとは～(2)フライトナースの現場から～時間との戦いの中で～,,5月6日（振休）13:00～15:00,県看護研修センター（海南市）,,150人（先着順）,,,,郵送、電話、ファックス、Eメールで住所、氏名、電話番号を5月5日までに県ナースセンター（県看護協会内）〒642-0017海南市南赤坂17電話073-483-0234　ファックス073-483-1266,,,,http://www.wakayama-kangokyokai.or.jp/new_site/,,wakayama@nurse-center.net  ,
